FBgn,X114,X115,X116,X117
FBgn0030057,0.17,0.2165,0.296,0.317
FBgn0030130,0.357706,0.290647,0.229882,0.121588
FBgn0033465,0.288,0.178667,0.0916667,0.441
FBgn0029959,0.159,0.301,0.317,0.224
FBgn0016041,0.367,0.108,0.0935,0.43175
FBgn0024294,0.19,0.335,0.33,0.145
FBgn0031020,0.161833,0.191333,0.18,0.4665
FBgn0003660,0.312,0.39,0.1945,0.10325
FBgn0027291,0.33,0.074,0.077,0.519
FBgn0035811,0.281455,0.123364,0.0986364,0.496545
FBgn0032393,0.257,0.127,0.141,0.475
FBgn0028425,0.3575,0.3535,0.1845,0.1045
FBgn0010238,0.335714,0.212857,0.304429,0.147143
FBgn0001233,0.395455,0.174455,0.284636,0.145273
FBgn0037434,0.16,0.145,0.117,0.579
FBgn0037357,0.164,0.254,0.188,0.394
FBgn0010341,0.366,0.364,0.171,0.1
FBgn0010380,0.4,0.206333,0.209333,0.184667
FBgn0024939,0.146667,0.224833,0.2875,0.341167
FBgn0000547,0.2825,0.266375,0.27675,0.174625
FBgn0040308,0.106667,0.262333,0.485,0.146333
FBgn0035422,0.113947,0.167579,0.299684,0.419158
FBgn0004237,0.058,0.07,0.118,0.754
FBgn0024365,0.2175,0.487,0.203,0.093
FBgn0032987,0.142,0.189,0.292,0.377
FBgn0027842,0.0895,0.227,0.527,0.1565
FBgn0026403,0.16625,0.4095,0.301,0.12325
FBgn0035401,0.115,0.231,0.523,0.131
FBgn0033477,0.0815,0.289167,0.495167,0.134333
FBgn0033480,0.383,0.056,0.06,0.501
FBgn0037755,0.127,0.35975,0.39725,0.11625
FBgn0026566,0.125333,0.142,0.558667,0.174
FBgn0035519,0.12,0.2615,0.46525,0.153
FBgn0032050,0.106,0.059,0.215,0.621
FBgn0035523,0.312,0.304,0.240333,0.143667
FBgn0032168,0.339,0.066,0.089,0.505
FBgn0033881,0.384,0.174,0.2285,0.2135
FBgn0026879,0.157,0.069,0.2,0.574
FBgn0027932,0.482333,0.178,0.195083,0.144417
FBgn0010265,0.223667,0.157333,0.137667,0.481333
FBgn0032035,0.0921667,0.221,0.523,0.163667
FBgn0028687,0.417,0.1618,0.158,0.2632
FBgn0015907,0.0764444,0.0965556,0.115,0.711667
FBgn0040660,0.369,0.066,0.074,0.49
FBgn0039219,0.22,0.081,0.169,0.529
FBgn0033482,0.0887692,0.256692,0.501308,0.153231
FBgn0004649,0.2339,0.3217,0.2358,0.2084
FBgn0039098,0.169,0.209,0.279,0.343
FBgn0038964,0.104,0.094,0.07,0.732
FBgn0035165,0.1,0.253,0.5065,0.14
FBgn0035173,0.31125,0.241,0.24825,0.2
FBgn0015031,0.326333,0.075,0.0956667,0.502667
FBgn0011710,0.382333,0.169,0.153,0.295667
FBgn0020255,0.17675,0.1525,0.14625,0.52425
FBgn0036855,0.096,0.444,0.328,0.131
FBgn0036889,0.3,0.135,0.148,0.418
FBgn0035965,0.0885,0.3335,0.4465,0.1315
FBgn0031035,0.187,0.155,0.163,0.495
FBgn0038660,0.14,0.197,0.444,0.219
FBgn0038611,0.306,0.159,0.203,0.332
FBgn0030038,0.273,0.1815,0.2315,0.3145
FBgn0027588,0.09005,0.26605,0.5025,0.14155
FBgn0034245,0.332,0.104,0.093,0.471
FBgn0062442,0.300667,0.105333,0.180333,0.413667
FBgn0025641,0.3745,0.3045,0.2045,0.1165
FBgn0037245,0.198917,0.105333,0.13,0.5655
FBgn0037252,0.099,0.309,0.4515,0.1405
FBgn0031106,0.108,0.653,0.171,0.068
FBgn0037340,0.093,0.34525,0.38875,0.173
FBgn0015221,0.101667,0.320833,0.396833,0.180667
FBgn0037930,0.1006,0.2754,0.4078,0.216
FBgn0019624,0.295667,0.121667,0.130667,0.452333
FBgn0033236,0.101,0.526,0.192,0.181
FBgn0003517,0.4454,0.2182,0.1904,0.1458
FBgn0026090,0.246,0.206,0.261,0.287
FBgn0028969,0.157,0.119,0.236,0.489
FBgn0002645,0.247,0.1755,0.2075,0.3695
FBgn0038432,0.129,0.331,0.399,0.1405
FBgn0032378,0.26,0.244,0.36,0.136
FBgn0035440,0.183,0.193,0.2765,0.347
FBgn0035469,0.132,0.092,0.403,0.373
FBgn0035499,0.296,0.197,0.258,0.25
FBgn0015287,0.111,0.17,0.184,0.534
FBgn0010551,0.387,0.0591667,0.0671667,0.486333
FBgn0034388,0.20225,0.40175,0.26575,0.13
FBgn0034401,0.227,0.127,0.095,0.551
FBgn0034405,0.1235,0.18,0.5245,0.1715
FBgn0034406,0.096,0.116,0.633,0.1545
FBgn0026664,0.274,0.2955,0.2815,0.1485
FBgn0027580,0.270429,0.089,0.0864286,0.554143
FBgn0031149,0.0976667,0.234667,0.534,0.133333
FBgn0023175,0.3522,0.1694,0.1496,0.3292
FBgn0010410,0.153,0.14725,0.31125,0.388
FBgn0029093,0.157667,0.113667,0.289333,0.44
FBgn0004657,0.19775,0.25075,0.41525,0.136
FBgn0038834,0.1915,0.179,0.166,0.464
FBgn0030465,0.0893333,0.545,0.266667,0.099
FBgn0005634,0.342917,0.11725,0.209583,0.3305
FBgn0004574,0.319333,0.311,0.208333,0.161333
FBgn0000054,0.088,0.102,0.179,0.6305
FBgn0030289,0.102667,0.228333,0.498,0.170667
FBgn0000346,0.255,0.299,0.1985,0.247
FBgn0040309,0.3446,0.2144,0.2368,0.2042
FBgn0002968,0.266308,0.303615,0.275846,0.154
FBgn0033446,0.393,0.349,0.109,0.149
FBgn0011747,0.2605,0.311,0.264,0.1645
FBgn0030122,0.118,0.322,0.386,0.174
FBgn0003498,0.201,0.077,0.112,0.611
FBgn0030235,0.16,0.0765,0.0965,0.666
FBgn0028686,0.3975,0.3045,0.165,0.133
FBgn0003360,0.355444,0.0872222,0.0803333,0.477
FBgn0038809,0.253,0.2235,0.268,0.256
FBgn0036512,0.0976667,0.379333,0.407667,0.115333
